# EMODnet Human Activities — vessel density, 2021-07, leisure ship types.
# source:  https://ows.emodnet-humanactivities.eu/geonetwork/srv/api/records/0f2f3ff1-30ef-49e1-96e7-8ca78d58a07c
# zips:    https://ows.emodnet-humanactivities.eu/geonetwork/srv/api/records/0f2f3ff1-30ef-49e1-96e7-8ca78d58a07c/attachments/EMODnet_HA_Vessel_Density_0[45].zip
# members: vesseldensity_04_20210701.tif (04 = Sailing),
#          vesseldensity_05_20210701.tif (05 = Pleasure Craft)
# licence: Creative Commons CC-BY 4.0 (as stated in the dataset's
#          ISO-19139 metadata inside each zip) — attribution required.
# crs:     EPSG:3035 (ETRS89 / LAEA Europe), 1000 x 1000 m pixels,
#          equal-area, so one pixel is exactly 1 km2.
# unit:    hours per square kilometre per month. EMODnet builds it by
#          drawing a line between consecutive positions of one ship and
#          intersecting it with the 1 km grid, so it is TRACK time, not
#          message count. Per 1 km2 pixel, hours/km2 = hours.
# rows:    pixel CENTRES reprojected to WGS84, kept where the centre is
#          inside lat 53.0-59.0, lon 3.0-17.0 (the project bbox)
#          AND at least one of the two types is > 0. Sorted by lat, lon.
# lon	lat	hours_sailing	hours_pleasure
4.918213	53.047686	6.6400	4.0231
5.142448	53.047941	2.3772	1.0619
4.514359	53.047964	0.2744	0.0307
4.933092	53.048313	1.5647	1.1115
4.723728	53.048321	0.6087	0.4393
4.140224	53.048340	0.0337	0.0000
3.960581	53.048466	0.0679	0.0000
5.157330	53.048541	4.2861	1.8758
4.529233	53.048641	0.1932	0.2451
4.947972	53.048939	0.4485	0.4334
4.738605	53.048972	0.1101	0.0000
5.172212	53.049139	15.3622	7.6250
3.975447	53.049211	0.0427	0.0000
4.544107	53.049317	0.3239	0.0426
4.962852	53.049562	0.8008	0.2078
5.187095	53.049735	25.3536	12.4520
4.558982	53.049991	0.1696	0.0402
4.364475	53.050045	0.0674	0.0000
4.977732	53.050184	0.5094	0.1156
5.201978	53.050329	25.4937	12.7967
3.316254	53.050438	0.0633	0.0000
4.573858	53.050662	0.5706	0.3472
4.992613	53.050804	1.6204	0.7366
5.216862	53.050922	18.1176	9.5244
3.331111	53.051263	0.0487	0.0000
4.588734	53.051332	0.9780	0.2504
5.007494	53.051423	3.8681	1.8645
5.231746	53.051512	3.0153	2.0052
4.214574	53.051939	0.0000	0.0050
4.603610	53.052001	2.3381	0.5009
5.022376	53.052039	19.9479	9.9624
3.345969	53.052087	0.0000	0.0691
5.246630	53.052101	0.6791	0.6412
4.409095	53.052127	0.1518	0.0970
4.034919	53.052176	0.0477	0.0000
5.037257	53.052654	22.6221	11.0724
4.229445	53.052654	0.0000	0.0766
4.618487	53.052667	1.7638	1.0099
5.261515	53.052688	0.5854	0.2069
4.423969	53.052817	0.0013	0.1803
4.049787	53.052912	0.0466	0.0000
5.052140	53.053266	5.3045	2.5233
5.276400	53.053273	0.5559	0.2560
4.633364	53.053331	2.9669	1.6313
4.244317	53.053366	0.0000	0.0277
4.842755	53.053481	0.0000	0.2871
4.438844	53.053506	0.0000	0.0068
5.291285	53.053856	0.9719	0.4859
5.067023	53.053877	1.6994	0.4600
4.648241	53.053994	2.3362	0.8275
4.857635	53.054118	0.0000	0.2043
5.306171	53.054437	1.7463	1.4819
5.081906	53.054486	0.8543	0.1508
4.663119	53.054655	2.0457	1.1743
4.872516	53.054753	17.1720	27.1230
4.468594	53.054877	0.0557	0.0000
5.096789	53.055094	0.9559	0.1749
4.677998	53.055314	6.4061	3.1896
4.887397	53.055386	10.5518	9.8652
4.483470	53.055560	0.1092	0.0000
5.111673	53.055699	0.7310	0.1148
4.692877	53.055971	7.2860	3.2808
4.902279	53.056017	25.7126	9.8779
4.498346	53.056241	0.1130	0.0852
5.126557	53.056303	0.5809	0.0806
4.124139	53.056567	0.0000	0.0152
4.707756	53.056626	2.0238	1.1832
4.917161	53.056646	33.0505	15.6331
5.141442	53.056904	0.5994	0.1419
4.513223	53.056921	0.1229	0.0000
4.932043	53.057274	23.4472	10.9546
4.722635	53.057279	0.6087	0.3729
4.139011	53.057293	0.0324	0.0429
5.156327	53.057504	0.7296	0.1640
4.528100	53.057598	0.3573	0.0135
4.946926	53.057900	12.3063	5.6285
4.737515	53.057931	0.1101	0.1046
4.153883	53.058016	0.0546	0.0111
5.171213	53.058102	1.0238	0.3184
3.974200	53.058162	0.0340	0.0000
4.542978	53.058274	0.3059	0.3017
4.961809	53.058524	10.0618	5.0647
5.186098	53.058698	1.2579	0.6093
3.989071	53.058906	0.0767	0.0000
4.557856	53.058948	0.4385	0.0038
4.363308	53.059000	0.0146	0.0000
4.976692	53.059146	16.7052	15.8677
5.200985	53.059293	1.5003	0.7749
3.314871	53.059380	0.0326	0.0000
4.572734	53.059620	0.2624	0.1630
4.378184	53.059696	0.0524	0.0000
4.991576	53.059766	26.3765	12.9452
5.215871	53.059885	9.2364	3.8923
3.329731	53.060206	0.0791	0.0000
4.587613	53.060290	1.1064	0.3818
5.006460	53.060384	31.4213	14.7015
4.393061	53.060390	0.0672	0.0000
5.230758	53.060476	24.2320	11.2028
4.602493	53.060958	1.5422	0.3738
5.021345	53.061001	19.7715	8.2741
3.344592	53.061029	0.0000	0.0376
5.245646	53.061065	26.9051	12.9029
4.407937	53.061083	0.0337	0.0040
5.036230	53.061616	11.4372	4.5265
4.617372	53.061625	2.4059	0.4272
5.260533	53.061652	23.9257	11.7142
4.422815	53.061773	0.0539	0.1278
3.359453	53.061851	0.0000	0.0314
4.048556	53.061864	0.0526	0.0000
5.051115	53.062229	10.3489	4.1057
5.275421	53.062237	2.2922	1.4006
4.632253	53.062289	1.6828	1.3359
4.243126	53.062320	0.0000	0.0489
4.437692	53.062462	0.0000	0.1714
4.063428	53.062598	0.0416	0.0000
5.290310	53.062820	0.0187	0.0560
5.066001	53.062840	8.1076	3.4975
4.647133	53.062952	3.0510	1.8812
4.258001	53.063031	0.0000	0.0605
5.305199	53.063402	0.0465	0.1073
5.080887	53.063449	0.8376	0.5464
4.662014	53.063613	2.9528	1.0724
5.320088	53.063982	0.4570	0.2563
5.095774	53.064056	0.5027	0.3261
4.676896	53.064272	4.9930	2.3915
4.886338	53.064346	2.5399	1.2171
4.482328	53.064517	0.0623	0.0000
5.334977	53.064559	561.8038	318.3355
5.110661	53.064662	0.5170	0.3665
4.691778	53.064929	6.1009	2.7194
4.901223	53.064978	3.9954	17.2468
5.349867	53.065135	422.3323	244.2758
4.497207	53.065198	0.3035	0.0046
5.125548	53.065265	0.4182	0.2956
4.706660	53.065585	4.5700	1.9179
4.916108	53.065607	5.7159	2.5594
5.140436	53.065867	0.3310	0.2531
4.512087	53.065877	0.1716	0.0759
4.930993	53.066235	15.8549	10.7272
4.721543	53.066238	0.5464	0.5644
5.155324	53.066467	0.2849	7.9549
4.526967	53.066555	0.2540	0.0000
4.945879	53.066861	24.5556	11.8230
4.736426	53.066890	0.2417	0.1117
4.152672	53.066969	0.0114	0.0320
5.170213	53.067065	0.2532	0.4160
4.541848	53.067231	0.4438	0.1661
4.960765	53.067485	25.2630	11.0856
5.185101	53.067662	0.2990	0.3967
4.167548	53.067691	0.0661	0.0353
4.556729	53.067905	0.4435	0.1318
4.975652	53.068107	18.4060	8.2978
5.199991	53.068256	0.4199	0.1589
4.182424	53.068411	0.0095	0.0000
4.571611	53.068577	0.2391	0.0711
4.002700	53.068599	0.0767	0.0000
4.377020	53.068651	0.0498	0.0000
